entry_date,exit_date,direction,entry_price,exit_price,exit_type,pct
2021-04-30,2021-05-02,LONG,57750.18,56631.08,SL,-6.0
2021-05-03,2021-05-04,LONG,57200.29,53333.54,SL,-6.0
2021-05-05,2021-05-06,LONG,57424.01,56396.52,SL,-6.0
2021-05-07,2021-05-10,LONG,57356.4,55859.8,SL,-6.0
2021-05-12,2021-05-13,SHORT,49150.54,49716.19,CS,-0.58
2021-05-13,2021-05-15,LONG,49716.19,46760.19,SL,-6.0
2021-05-15,2021-07-24,SHORT,46760.19,34292.45,CS,13.33
2021-08-07,2021-08-08,LONG,44555.8,43798.12,SL,-6.0
2021-09-14,2021-09-19,LONG,47092.49,47260.22,CL,1.07
2021-10-01,2021-10-04,LONG,48116.94,49112.9,SL,-6.0
2021-12-04,2022-02-06,SHORT,49200.7,42412.43,CS,6.9
2022-02-17,2022-02-28,SHORT,40538.01,43193.23,CS,-3.27
2022-03-04,2022-03-09,SHORT,39137.61,41982.93,CS,-3.64
2022-03-10,2022-03-16,SHORT,39437.46,41143.93,CS,-2.16
2022-03-27,2022-03-31,LONG,46820.49,45538.68,SL,-6.0
2022-04-06,2022-07-18,SHORT,43206.74,22485.69,CS,23.98
2022-08-19,2022-09-12,SHORT,20877.55,22370.45,CS,-3.58
2022-09-13,2022-10-04,SHORT,20296.71,20336.84,CS,-0.1
2022-10-07,2022-10-25,SHORT,19546.85,20095.86,CS,-1.4
2022-11-04,2022-11-07,LONG,21147.23,20602.82,SL,-6.0
2022-11-07,2022-12-13,SHORT,20602.82,17781.32,CS,6.85
2022-12-15,2022-12-22,SHORT,17364.87,16830.34,CS,1.54
2022-12-23,2022-12-24,SHORT,16796.95,16847.76,CS,-0.15
2022-12-27,2023-01-04,SHORT,16717.17,16863.24,CS,-0.44
2023-01-05,2023-01-06,SHORT,16836.74,16951.97,CS,-0.34
2023-01-12,2023-03-03,LONG,18869.59,22362.68,CL,55.54
2023-03-13,2023-04-21,LONG,24197.53,27276.91,CL,38.18
2023-04-22,2023-04-23,LONG,27817.5,27591.38,CL,-2.44
2023-04-25,2023-04-26,LONG,28307.6,28422.7,SL,-6.0
2023-05-02,2023-05-07,LONG,28680.54,28454.98,CL,-2.36
2023-05-28,2023-05-29,LONG,28085.65,27745.88,CL,-3.63
2023-06-05,2023-06-06,SHORT,25760.1,27238.78,CS,-2.87
2023-06-06,2023-06-07,LONG,27238.78,26346.0,SL,-6.0
2023-06-10,2023-06-17,SHORT,25851.24,26510.68,CS,-1.28
2023-06-17,2023-06-18,LONG,26510.68,26336.21,CL,-1.97
2023-06-18,2023-06-19,SHORT,26336.21,26851.03,CS,-0.98
2023-06-19,2023-07-24,LONG,26851.03,29176.92,CL,25.99
2023-08-17,2023-09-19,SHORT,26664.55,27211.12,CS,-1.02
2023-09-21,2023-09-28,SHORT,26567.63,27021.55,CS,-0.85
2023-10-01,2023-10-02,LONG,27983.75,27530.79,SL,-6.0
2023-10-02,2023-10-16,SHORT,27530.79,28519.47,CS,-1.8
2023-10-16,2024-01-12,LONG,28519.47,42853.17,CL,150.78
2024-01-29,2024-01-31,LONG,43288.25,42582.61,SL,-6.0
2024-02-01,2024-02-04,LONG,43075.77,42583.58,CL,-3.43
2024-02-06,2024-04-12,LONG,43084.67,67195.87,CL,167.89
2024-05-15,2024-05-16,LONG,66267.49,65231.58,SL,-6.0
2024-06-21,2024-07-15,SHORT,64096.2,64870.15,CS,-0.6
2024-07-19,2024-07-24,LONG,66710.16,65372.13,SL,-6.0
2024-07-31,2024-08-01,SHORT,64619.25,65357.5,CS,-0.57
2024-08-01,2024-08-02,LONG,65357.5,61415.07,SL,-6.0
2024-08-02,2024-08-23,SHORT,61415.07,64094.36,CS,-2.18
2024-08-23,2024-08-26,LONG,64094.36,62880.66,CL,-5.68
2024-08-26,2024-09-13,SHORT,62880.66,60571.3,CS,1.84
2024-09-16,2024-09-17,SHORT,58192.51,60308.54,CS,-1.82
2024-09-19,2024-10-01,LONG,62940.46,60837.01,SL,-6.0
2024-10-01,2024-10-06,SHORT,60837.01,62818.95,CS,-1.63
2024-10-06,2024-10-07,LONG,62818.95,62236.66,CL,-2.78
