slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,D,2021-04-14,2026-04-03,81,8629.53,1763.82,87295.35,45.09,39.117,False,28.4,4.013,10.36,0.237,48.58,-4.8,223.85,-9.0,18,22.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.25,True,9.0,D,2021-04-14,2026-04-03,81,8405.99,1718.12,85059.86,46.57,36.891,False,27.16,3.748,10.45,0.237,52.48,-5.22,223.85,-9.0,22,27.2,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.25,True,12.0,D,2021-04-14,2026-04-03,81,6486.74,1325.84,65867.35,47.73,27.779,False,28.4,3.493,10.18,0.23,50.24,-5.7,223.85,-12.0,15,18.5,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.25,True,6.0,D,2021-04-14,2026-04-03,108,7627.63,1544.34,77276.28,57.14,27.027,False,20.37,3.402,8.54,0.2,59.39,-4.47,223.85,-6.0,51,47.2,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,1.0,True,6.0,D,2021-04-14,2026-04-03,108,7045.07,1426.39,71450.66,53.95,26.44,False,20.37,3.519,8.37,0.198,57.42,-4.17,223.85,-6.0,45,41.7,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-03,81,5930.57,1212.17,60305.69,46.28,26.193,False,28.4,3.593,9.96,0.227,48.58,-5.36,223.85,-12.0,15,18.5,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.0,True,9.0,D,2021-04-14,2026-04-03,81,3674.83,751.11,37748.29,38.55,19.483,False,28.4,3.463,7.69,0.231,38.1,-4.36,167.89,-9.0,15,18.5,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,4.0,2.0,True,4.0,D,2021-04-14,2026-04-03,94,4592.37,929.8,46923.73,48.44,19.195,False,18.09,3.474,7.98,0.209,61.98,-3.94,208.81,-4.0,73,77.7,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.0,True,9.0,D,2021-04-14,2026-04-03,68,5449.46,1113.83,55494.57,59.48,18.727,False,27.94,3.599,10.97,0.252,54.34,-5.86,208.81,-9.0,20,29.4,BTC-USD,2021_default,quick
130,SMA,60,SMA,True,True,True,4.0,1.25,True,9.0,D,2021-04-14,2026-04-03,68,5428.48,1109.54,55284.76,60.77,18.257,False,27.94,3.402,11.1,0.253,56.25,-6.41,208.81,-9.0,24,35.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,D,2021-04-14,2026-04-03,81,4586.97,937.54,46869.72,51.96,18.043,False,24.69,3.146,10.0,0.221,59.39,-6.19,223.85,-9.0,31,38.3,BTC-USD,2021_default,quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,6.0,D,2021-04-14,2026-04-03,108,4963.98,1005.04,50639.82,57.88,17.365,False,18.52,3.06,8.33,0.192,66.78,-4.96,223.85,-6.0,60,55.6,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,4.0,1.25,True,6.0,D,2021-04-14,2026-04-03,94,5378.15,1088.9,54781.5,62.91,17.31,False,21.28,3.256,8.82,0.211,59.85,-4.97,208.81,-6.0,52,55.3,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,D,2021-04-14,2026-04-03,81,3578.16,731.35,36781.62,43.24,16.915,False,27.16,3.231,7.79,0.231,41.52,-4.79,167.89,-9.0,19,23.5,BTC-USD,2021_default,quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,2.0,D,2021-04-14,2026-04-03,81,4801.88,981.47,49018.84,61.12,16.058,False,30.86,2.988,10.49,0.228,51.09,-7.63,223.85,-34.73,0,0.0,BTC-USD,2021_default,quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,6.0,D,2021-04-14,2026-04-03,94,4651.05,941.68,47510.54,60.96,15.447,False,21.28,3.302,8.58,0.207,57.82,-4.73,208.81,-6.0,46,48.9,BTC-USD,2021_default,quick
